Ticker,Company,Sector
9202.T,ANA Holdings Inc.,Air transport
9201.T,Japan Airlines Co. Ltd.,Air transport
543A.T,Archion Corp.,Automotive
7267.T,Honda Motor Co. Ltd.,Automotive
7202.T,Isuzu Motors Ltd.,Automotive
7261.T,Mazda Motor Corp.,Automotive
7211.T,Mitsubishi Motors Corp.,Automotive
7201.T,Nissan Motor Co. Ltd.,Automotive
7270.T,Subaru Corp.,Automotive
7269.T,Suzuki Motor Corp.,Automotive
7203.T,Toyota Motor Corp.,Automotive
7272.T,Yamaha Motor Company Ltd.,Automotive
8304.T,Aozora Bank Ltd.,Banking
8331.T,The Chiba Bank Ltd.,Banking
8354.T,Fukuoka Financial Group Inc.,Banking
8306.T,Mitsubishi UFJ Financial Group Inc.,Banking
8411.T,Mizuho Financial Group Inc.,Banking
8308.T,Resona Holdings Inc.,Banking
5831.T,Shizuoka Financial Group,Banking
8316.T,Sumitomo Mitsui Financial Group Inc.,Banking
8309.T,Sumitomo Mitsui Trust Holdings Inc.,Banking
7186.T,Yokohama Financial Group,Banking
3407.T,Asahi Kasei Corp.,Chemicals
4061.T,Denka Co. Ltd.,Chemicals
4901.T,Fujifilm Holdings Corp.,Chemicals
4452.T,Kao Corp.,Chemicals
3405.T,Kuraray Co. Ltd.,Chemicals
4188.T,Mitsubishi Chemical Holdings Corp.,Chemicals
4183.T,Mitsui Chemicals Inc.,Chemicals
4021.T,Nissan Chemical Industries Ltd.,Chemicals
6988.T,Nitto Denko,Chemicals
4004.T,Resonac Corp.,Chemicals
4063.T,Shin-Etsu Chemical Co. Ltd.,Chemicals
4911.T,Shiseido Co. Ltd.,Chemicals
4005.T,Sumitomo Chemical Co. Ltd.,Chemicals
4043.T,Tokuyama Corporation,Chemicals
4042.T,Tosoh Corp.,Chemicals
4208.T,Ube Industries Ltd.,Chemicals
9433.T,KDDI Corp.,Communications
9432.T,Nippon Telegraph & Telephone Corp.,Communications
9434.T,SoftBank Corp.,Communications
9984.T,SoftBank Group Corp.,Communications
1721.T,Comsys Holdings Corp.,Construction
1925.T,Daiwa House Industry Co. Ltd.,Construction
1808.T,Haseko Corp.,Construction
1963.T,JGC Corporation,Construction
1812.T,Kajima Corp.,Construction
1802.T,Obayashi Corp.,Construction
1928.T,Sekisui House Ltd.,Construction
1803.T,Shimizu Corp.,Construction
1801.T,Taisei Corp.,Construction
6857.T,Advantest Corp.,Electric machinery
6770.T,Alps Alpine Co. Ltd.,Electric machinery
7751.T,Canon Inc.,Electric machinery
6902.T,Denso Corp.,Electric machinery
6954.T,FANUC Corp.,Electric machinery
6504.T,Fuji Electric Co. Ltd.,Electric machinery
6702.T,Fujitsu Ltd.,Electric machinery
6501.T,Hitachi Ltd.,Electric machinery
6861.T,Keyence Corp.,Electric machinery
285A.T,Kioxia Holdings Corp.,Electric machinery
6971.T,Kyocera Corp.,Electric machinery
6920.T,Lasertec,Electric machinery
6479.T,MinebeaMitsumi Inc.,Electric machinery
6503.T,Mitsubishi Electric Corp.,Electric machinery
6981.T,Murata Manufacturing Co. Ltd.,Electric machinery
6701.T,NEC Corp.,Electric machinery
6594.T,Nidec,Electric machinery
6645.T,Omron Corp.,Electric machinery
6752.T,Panasonic Corp.,Electric machinery
6723.T,Renesas Electronics,Electric machinery
7752.T,Ricoh Co. Ltd.,Electric machinery
6963.T,Rohm Co. Ltd.,Electric machinery
7735.T,SCREEN Holdings,Electric machinery
6724.T,Seiko Epson Corp.,Electric machinery
6753.T,Sharp Corporation,Electric machinery
6758.T,Sony Corp.,Electric machinery
6526.T,Socionext Inc.,Electric machinery
6976.T,Taiyo Yuden Co. Ltd.,Electric machinery
6762.T,TDK Corp.,Electric machinery
8035.T,Tokyo Electron Ltd.,Electric machinery
6506.T,Yaskawa Electric Corporation Limited,Electric machinery
6841.T,Yokogawa Electric Corp.,Electric machinery
9502.T,Chubu Electric Power Co. Inc.,Electric power
9503.T,The Kansai Electric Power Co. Inc.,Electric power
9501.T,Tokyo Electric Power Company Holdings Incorporated,Electric power
1332.T,Nissui Corporation,Fishery
2802.T,Ajinomoto Co. Inc.,Foods
2502.T,Asahi Group Holdings Ltd.,Foods
2914.T,Japan Tobacco Inc.,Foods
2801.T,Kikkoman Corp.,Foods
2503.T,Kirin Holdings Co Ltd,Foods
2269.T,Meiji Holdings Company Limited,Foods
2282.T,NH Foods Ltd.,Foods
2871.T,Nichirei Corp.,Foods
2002.T,Nisshin Seifun Group Inc.,Foods
2501.T,Sapporo Holdings Ltd.,Foods
9532.T,Osaka Gas Co. Ltd.,Gas
9531.T,Tokyo Gas Co. Ltd.,Gas
5201.T,AGC Inc.,Glass & ceramics
5333.T,NGK Insulators Ltd.,Glass & ceramics
5214.T,Nippon Electric Glass Co. Ltd.,Glass & ceramics
5233.T,Taiheiyo Cement Corp.,Glass & ceramics
5301.T,Tokai Carbon Co. Ltd.,Glass & ceramics
5332.T,Toto Ltd.,Glass & ceramics
8750.T,Dai-ichi Life Insurance Company Limited,Insurance
8725.T,MS&AD Insurance Group Inc.,Insurance
8630.T,Sompo Holdings Inc.,Insurance
8795.T,T&D Holdings Inc.,Insurance
8766.T,Tokio Marine Holdings Inc.,Insurance
9147.T,Nippon Express Holdings Inc.,Land transport
9064.T,Yamato Holdings Co. Ltd.,Land transport
6113.T,Amada Co. Ltd.,Machinery
6367.T,Daikin Industries Ltd.,Machinery
6361.T,Ebara Corp.,Machinery
6305.T,Hitachi Construction Machinery Co. Ltd.,Machinery
7004.T,Kanadevia Corp.,Machinery
7013.T,IHI Corp.,Machinery
5631.T,The Japan Steel Works Ltd.,Machinery
6473.T,JTEKT Corp.,Machinery
6301.T,Komatsu Ltd.,Machinery
6326.T,Kubota Corp.,Machinery
7011.T,Mitsubishi Heavy Industries Ltd.,Machinery
6471.T,NSK Ltd.,Machinery
6472.T,NTN Corp.,Machinery
6103.T,Okuma Holdings Inc.,Machinery
6302.T,Sumitomo Heavy Industries Ltd.,Machinery
6273.T,SMC Corporation,Machinery
9107.T,Kawasaki Kisen Kaisha Ltd.,Marine transport
9104.T,Mitsui O.S.K. Lines Ltd.,Marine transport
9101.T,Nippon Yusen K.K.,Marine transport
1605.T,Inpex Corp.,Mining
5714.T,Dowa Holdings Co. Ltd.,Nonferrous metals
5803.T,Fujikura Ltd.,Nonferrous metals
5801.T,The Furukawa Electric Co. Ltd.,Nonferrous metals
5711.T,Mitsubishi Materials Corp.,Nonferrous metals
5706.T,Mitsui Mining & Smelting Co. Ltd.,Nonferrous metals
3436.T,SUMCO Corp.,Nonferrous metals
5802.T,Sumitomo Electric Industries Ltd.,Nonferrous metals
5713.T,Sumitomo Metal Mining Co. Ltd.,Nonferrous metals
8253.T,Credit Saison Co. Ltd.,Other financial services
8697.T,Japan Exchange Group Inc.,Other financial services
8591.T,Orix Co.,Other financial services
7832.T,Bandai Namco Holdings Inc.,Other manufacturing
7912.T,Dai Nippon Printing Co. Ltd.,Other manufacturing
